package,num_gcc,stack_protector,stack_protector_strong,stack_protector_all,no_stack_protection
hostname_3.18+b1_amd64.log,0,0,0,0,0
hplip_3.19.1+dfsg0-1_amd64.log,11,0,11,0,0
ifupdown_0.7.53.1_amd64.log,0,0,0,0,0
insserv_1.18.0-2_amd64.log,0,0,0,0,0
iproute_20120521-3+b4_amd64.log,123,0,0,0,123
iptables_1.8.2-4_amd64.log,285,0,162,0,123
java-common_0.71_amd64.log,0,0,0,0,0
kbd_2.0.4-4_amd64.log,54,0,42,0,12
laptop-detect_0.13.8_amd64.log,0,0,0,0,0
less_487-0.1+b1_amd64.log,38,0,35,0,3
lftp_4.8.3-1+b1_amd64.log,1,0,1,0,0
libcairo-perl_1.106-3+b1_amd64.log,0,0,0,0,0
libcap2_1:2.25-2_amd64.log,0,0,0,0,0
libgcrypt11_1.5.4-3_amd64.log,26,0,26,0,0
libgdiplus_4.2-1+b1_amd64.log,0,0,0,0,0
libglib-perl_3:1.329-1_amd64.log,0,0,0,0,0
libgnome2-canvas-perl_1.002-4+b2_amd64.log,0,0,0,0,0
libgnome2-perl_1.046-3+b2_amd64.log,0,0,0,0,0
libgnome2-vfs-perl_1.082-1+b4_amd64.log,0,0,0,0,0
libgtk2-perl_2:1.24992-1+b2_amd64.log,0,0,0,0,0
libhtml-parser-perl_3.72-3+b3_amd64.log,0,0,0,0,0
liblocale-gettext-perl_1.07-3+b4_amd64.log,0,0,0,0,0
libnet-dbus-perl_1.1.0-5+b1_amd64.log,0,0,0,0,0
libpcap0.8_0.9.5-1_amd64.log,31,0,0,0,31
libtasn1-3_2.14-3_amd64.log,14,13,0,0,1
libterm-readkey-perl_2.38-1_amd64.log,0,0,0,0,0
libtext-charwidth-perl_0.04-7.1+b1_amd64.log,0,0,0,0,0
libtext-iconv-perl_1.7-5+b7_amd64.log,0,0,0,0,0
libuuid-perl_0.28-1_amd64.log,0,0,0,0,0
libxfont1_1:1.5.2-4_amd64.log,0,0,0,0,0
libxml-parser-perl_2.44-4_amd64.log,0,0,0,0,0
libxml2_2.9.8+dfsg-1+b1_amd64.log,2,0,2,0,0
lockfile-progs_0.1.18_amd64.log,0,0,0,0,0
logrotate_3.14.0-4_amd64.log,4,0,4,0,0
lp-solve_5.5.0.15-4+b1_amd64.log,0,0,0,0,0
lshw_02.17-1.1+b1_amd64.log,0,0,0,0,0
lsof_4.86+dfsg-1_amd64.log,1,0,0,0,1
ltrace_0.7.3-6.1_amd64.log,1,0,1,0,0
lzma_9.22-2+b4_amd64.log,10,0,0,0,10
make_3.80+3.81.rc1-1_amd64.log,0,0,0,0,0
makedev_3.3.8.2-0_amd64.log,0,0,0,0,0
man-db_2.8.5-2_amd64.log,24,0,24,0,0
mawk_1.3.3-17+b3_amd64.log,34,0,34,0,0
mesa-utils_6.3.2-2_amd64.log,0,0,0,0,0
mesa-utils_6.3.2-2_amd64.log.1,0,0,0,0,0
metacity_1:3.30.1-2_amd64.log,51,0,51,0,0
min12xxw_0.0.9-11_amd64.log,0,0,0,0,0
mlocate_0.21.1-1_amd64.log,5,0,0,0,5
module-init-tools_3.16-1_amd64.log,37,0,0,0,37
mountall_2.51+b1_amd64.log,0,0,0,0,0
mousetweaks_3.32.0-1_amd64.log,13,0,13,0,0
mscompress_0.4-3+b1_amd64.log,5,0,5,0,0
mtools_4.0.18-2+b1_amd64.log,66,0,62,0,4
nano_4.1-1_amd64.log,135,0,135,0,0
nautilus-sendto_3.8.6-3_amd64.log,0,0,0,0,0
nautilus-share_0.7.3-1+b1_amd64.log,1,0,0,0,1
nautilus_3.31.90-1_amd64.log,0,0,0,0,0
net-tools_1.60+git20180626.aebd88e-1_amd64.log,0,0,0,0,0
netcat_1.10-41+b1_amd64.log,1,0,0,0,1
network-manager_1.18.0-1_amd64.log,142,0,140,0,2
notify-osd_0.9.35+15.04.20150126-1+b1_amd64.log,105,0,105,0,0
ntfs-3g_1:2017.3.23AR.3-3_amd64.log,37,0,37,0,0
nvidia-common_20110426+1_amd64.log,1,0,0,0,1
obex-data-server_0.4.6-1+b2_amd64.log,18,0,18,0,0
onboard_1.4.1-4+b1_amd64.log,0,0,0,0,0
openssl_1.1.1b-2_amd64.log,1921,0,1921,0,0
os-prober_1.77_amd64.log,1,0,1,0,0
parted_3.2-25_amd64.log,13,0,13,0,0
patch_2.7.5-1+b2_amd64.log,0,0,0,0,0
pciutils_1:3.6.2-1_amd64.log,31,0,27,0,4
pcmciautils_018-10_amd64.log,9,0,6,0,3
perl_5.28.1-6_amd64.log,0,0,0,0,0
pkg-config_0.29-6_amd64.log,0,0,0,0,0
pnm2ppa_1.13-9_amd64.log,13,0,12,0,1
policykit-1_0.115-3_amd64.log,13,0,13,0,0
powermgmt-base_1.31_amd64.log,0,0,0,0,0
ppp_2.4.7-2+4_amd64.log,0,0,0,0,0
procps_2:3.3.14-1+b1_amd64.log,34,0,34,0,0
psmisc_23.1-1+b1_amd64.log,13,0,13,0,0
pulseaudio_12.2-4_amd64.log,76,0,76,0,0
pxljr_1.4+repack0-5_amd64.log,18,0,18,0,0
python-apt_1.8.4_amd64.log,0,0,0,0,0
python-crypto_2.6.1-9+b1_amd64.log,0,0,0,0,0
python-cups_1.9.73-2+b1_amd64.log,0,0,0,0,0
python-httplib2_0.2.0-2_amd64.log,0,0,0,0,0
python-imaging_1.1.7-2+b1_amd64.log,305,0,0,0,305
python-pam_0.4.2-13_amd64.log,5,0,0,0,5
radeontool_1.6.3-1+b1_amd64.log,6,0,6,0,0
rdesktop_1.8.3-2+b1_amd64.log,0,0,0,0,0
rhythmbox_3.4.3-1_amd64.log,12,0,12,0,0
rsync_3.1.3-5_amd64.log,0,0,0,0,0
rsyslog_8.1904.0-1_amd64.log,30,0,30,0,0
screen_4.6.2-1+b1_amd64.log,78,0,0,0,78
seahorse_3.32-1_amd64.log,0,0,0,0,0
sed_4.7-1_amd64.log,346,0,346,0,0
shared-mime-info_1.10-1_amd64.log,6,0,6,0,0
splix_2.0.0+svn315-7_amd64.log,0,0,0,0,0
strace_4.26-0.2_amd64.log,5582,0,5480,0,102
sudo_1.8.20p1-1.1_amd64.log,71,0,71,0,0
synaptic_0.84.5_amd64.log,0,0,0,0,0
syslinux_3:6.04~git20190206.bf6db5b4+dfsg1-1_amd64.log,783,0,211,0,572
system-tools-backends_2.10.2-3+b1_amd64.log,3,0,3,0,0
tar_1.30+dfsg-3.1_amd64.log,162,0,162,0,0
tcpdump_4.9.2-3_amd64.log,171,0,171,0,0
time_1.7-25.1+b1_amd64.log,7,0,7,0,0
tomboy_1.15.4-1+b1_amd64.log,0,0,0,0,0
toshset_1.76-4+b1_amd64.log,10,0,0,0,10
totem_3.31.91-1_amd64.log,0,0,0,0,0
tsclient_0.150-4_amd64.log,11,0,0,0,11
udev_175-7.2_amd64.log,1,0,0,0,1
unzip_6.0-22_amd64.log,0,0,0,0,0
update-manager_0.68.debian-6_amd64.log,4,0,0,0,4
update-notifier_0.70.7.debian-7_amd64.log,0,0,0,0,0
upstart_1.11-5+b1_amd64.log,74,0,74,0,0
usbutils_1:010-3_amd64.log,8,0,8,0,0
util-linux_2.33.1-0.1_amd64.log,236,0,236,0,0
vbetool_1.1-4_amd64.log,2,0,2,0,0
vinagre_3.22.0-6_amd64.log,44,0,44,0,0
vino_3.22.0-5_amd64.log,43,0,43,0,0
w3m_0.5.3-36+b1_amd64.log,82,0,82,0,0
wget_1.20.1-1.1_amd64.log,0,0,0,0,0
whois_5.4.2_amd64.log,0,0,0,0,0
wireless-tools_30~pre9-12+b1_amd64.log,32,0,15,0,17
wpasupplicant_0.7.3-6_amd64.log,3,0,0,0,3
x11-apps_7.7+7_amd64.log,177,0,177,0,0
x11-session-utils_7.7+3_amd64.log,25,0,25,0,0
x11-utils_7.7+4_amd64.log,65,0,60,0,5
x11-xfs-utils_7.7+2+b1_amd64.log,11,0,11,0,0
x11-xkb-utils_7.7+4_amd64.log,43,0,43,0,0
x11-xserver-utils_7.7+8_amd64.log,38,0,37,0,1
xauth_1:1.0.10-1_amd64.log,7,0,7,0,0
xdg-user-dirs-gtk_0.10-3_amd64.log,3,0,3,0,0
xdg-user-dirs_0.17-2_amd64.log,4,0,4,0,0
xfonts-utils_1:7.7+6_amd64.log,31,0,31,0,0
xinit_1.4.0-1_amd64.log,2,0,2,0,0
xinput_1.6.2-1+b1_amd64.log,15,0,15,0,0
xorg_1:7.7+19_amd64.log,0,0,0,0,0
xsane_0.999-6+b1_amd64.log,27,0,26,0,1
xserver-xorg-input-evdev_1:2.10.6-1_amd64.log,0,0,0,0,0
xserver-xorg-input-mouse_1:1.9.3-1_amd64.log,0,0,0,0,0
xserver-xorg-input-synaptics_1.9.1-1_amd64.log,2,0,2,0,0
xserver-xorg-input-vmmouse_1:13.1.0-1+b1_amd64.log,3,0,3,0,0
xserver-xorg-video-apm_1:1.2.3-3+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-ark_1:0.7.5-1+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-ati_1:19.0.1-1_amd64.log,0,0,0,0,0
xserver-xorg-video-chips_1:1.2.4-2+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-cirrus_1:1.5.3-1+b3_amd64.log,0,0,0,0,0
xserver-xorg-video-fbdev_1:0.5.0-1_amd64.log,0,0,0,0,0
xserver-xorg-video-geode_2.10.0-1_amd64.log,0,0,0,0,0
xserver-xorg-video-i128_1:1.3.5-1+b2_amd64.log,0,0,0,0,0
xserver-xorg-video-i740_1:1.3.2-4+b4_amd64.log,0,0,0,0,0
xserver-xorg-video-intel_2:2.99.917+git20180925-2_amd64.log,8,0,8,0,0
xserver-xorg-video-mach64_6.9.6-1_amd64.log,0,0,0,0,0
xserver-xorg-video-mga_1:2.0.0-1_amd64.log,1,0,1,0,0
xserver-xorg-video-neomagic_1:1.3.0-1_amd64.log,0,0,0,0,0
xserver-xorg-video-nv_1:2.1.17-1_amd64.log,0,0,0,0,0
xserver-xorg-video-openchrome_1:0.6.0-3+b1_amd64.log,1,0,1,0,0
xserver-xorg-video-r128_6.12.0-1_amd64.log,0,0,0,0,0
xserver-xorg-video-rendition_1:4.2.4-3+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-s3_1:0.6.3-5+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-s3virge_1:1.10.4-5+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-savage_1:2.3.9-2_amd64.log,0,0,0,0,0
xserver-xorg-video-siliconmotion_1:1.7.9-2+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-sis_1:0.10.4-1+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-sisusb_1:0.9.7-1+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-tdfx_1:1.4.7-1+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-trident_1:1.3.8-1+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-tseng_1:1.2.4-3+b1_amd64.log,0,0,0,0,0
xserver-xorg-video-v4l_0.2.0-1_amd64.log,1,0,0,0,1
xserver-xorg-video-vesa_1:2.4.0-2_amd64.log,0,0,0,0,0
xserver-xorg-video-vmware_1:13.3.0-2_amd64.log,2,0,2,0,0
xserver-xorg-video-voodoo_1:1.2.4-2+b4_amd64.log,0,0,0,0,0
xterm_344-1_amd64.log,34,0,34,0,0
yelp_3.32.1-1_amd64.log,15,0,15,0,0
zenity_3.32.0-3_amd64.log,17,0,17,0,0
zip_3.0-11+b1_amd64.log,26,0,22,0,4
