package,type,count
aircrack-ng_1:1.5.2-3_amd64.log,num_stack_protector_strong,47
aircrack-ng_1:1.5.2-3_amd64.log,num_stack_protector_all,0
aircrack-ng_1:1.5.2-3_amd64.log,num_no_stack_protector,0
airstrike_0.99+1.0pre6a-9_amd64.log,num_gcc,0
airstrike_0.99+1.0pre6a-9_amd64.log,num_stack_protector,0
airstrike_0.99+1.0pre6a-9_amd64.log,num_stack_protector_strong,0
airstrike_0.99+1.0pre6a-9_amd64.log,num_stack_protector_all,0
airstrike_0.99+1.0pre6a-9_amd64.log,num_no_stack_protector,0
aisleriot_1:3.22.8-1_amd64.log,num_gcc,16
aisleriot_1:3.22.8-1_amd64.log,num_stack_protector,0
aisleriot_1:3.22.8-1_amd64.log,num_stack_protector_strong,16
aisleriot_1:3.22.8-1_amd64.log,num_stack_protector_all,0
aisleriot_1:3.22.8-1_amd64.log,num_no_stack_protector,0
akregator_4:18.08.3-2_amd64.log,num_gcc,0
akregator_4:18.08.3-2_amd64.log,num_stack_protector,0
akregator_4:18.08.3-2_amd64.log,num_stack_protector_strong,0
akregator_4:18.08.3-2_amd64.log,num_stack_protector_all,0
akregator_4:18.08.3-2_amd64.log,num_no_stack_protector,0
alarm-clock_1.2.5-1_amd64.log,num_gcc,15
alarm-clock_1.2.5-1_amd64.log,num_stack_protector,0
alarm-clock_1.2.5-1_amd64.log,num_stack_protector_strong,0
alarm-clock_1.2.5-1_amd64.log,num_stack_protector_all,0
alarm-clock_1.2.5-1_amd64.log,num_no_stack_protector,15
alien-arena_7.66+dfsg-5_amd64.log,num_gcc,142
alien-arena_7.66+dfsg-5_amd64.log,num_stack_protector,0
alien-arena_7.66+dfsg-5_amd64.log,num_stack_protector_strong,142
alien-arena_7.66+dfsg-5_amd64.log,num_stack_protector_all,0
alien-arena_7.66+dfsg-5_amd64.log,num_no_stack_protector,0
alltray_0.71b-1.2_amd64.log,num_gcc,15
alltray_0.71b-1.2_amd64.log,num_stack_protector,0
alltray_0.71b-1.2_amd64.log,num_stack_protector_strong,0
alltray_0.71b-1.2_amd64.log,num_stack_protector_all,0
alltray_0.71b-1.2_amd64.log,num_no_stack_protector,15
alsa-oss_1.1.8-1_amd64.log,num_gcc,1
alsa-oss_1.1.8-1_amd64.log,num_stack_protector,0
alsa-oss_1.1.8-1_amd64.log,num_stack_protector_strong,1
alsa-oss_1.1.8-1_amd64.log,num_stack_protector_all,0
alsa-oss_1.1.8-1_amd64.log,num_no_stack_protector,0
alsa-tools_1.1.7-1_amd64.log,num_gcc,0
alsa-tools_1.1.7-1_amd64.log,num_stack_protector,0
alsa-tools_1.1.7-1_amd64.log,num_stack_protector_strong,0
alsa-tools_1.1.7-1_amd64.log,num_stack_protector_all,0
alsa-tools_1.1.7-1_amd64.log,num_no_stack_protector,0
alsa-utils_1.1.8-2_amd64.log,num_gcc,99
alsa-utils_1.1.8-2_amd64.log,num_stack_protector,0
alsa-utils_1.1.8-2_amd64.log,num_stack_protector_strong,99
alsa-utils_1.1.8-2_amd64.log,num_stack_protector_all,0
alsa-utils_1.1.8-2_amd64.log,num_no_stack_protector,0
alsamixergui_0.9.0rc2-1-9.1_amd64.log,num_gcc,1
alsamixergui_0.9.0rc2-1-9.1_amd64.log,num_stack_protector,0
alsamixergui_0.9.0rc2-1-9.1_amd64.log,num_stack_protector_strong,0
alsamixergui_0.9.0rc2-1-9.1_amd64.log,num_stack_protector_all,0
alsamixergui_0.9.0rc2-1-9.1_amd64.log,num_no_stack_protector,1
amarok_2.9.0-1+b2_amd64.log,num_gcc,0
amarok_2.9.0-1+b2_amd64.log,num_stack_protector,0
amarok_2.9.0-1+b2_amd64.log,num_stack_protector_strong,0
amarok_2.9.0-1+b2_amd64.log,num_stack_protector_all,0
amarok_2.9.0-1+b2_amd64.log,num_no_stack_protector,0
amaya_10.1~pre4+dfsg.0-2_amd64.log,num_gcc,0
amaya_10.1~pre4+dfsg.0-2_amd64.log,num_stack_protector,0
amaya_10.1~pre4+dfsg.0-2_amd64.log,num_stack_protector_strong,0
